                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7611,                 3.6592,                 1.7388,                0.01643,                0.47115,                 0.0934,                0.03951,                 1.4733,                 3.3562,                 1.3795,              0.0003625,              0.0003625,              0.0003625
                      2,                 1.5825,                 2.9857,                 1.5544,                0.01034,                0.42308,                0.14527,                 0.0581,                 1.4066,                 3.3998,                 1.5823,             0.00066449,             0.00066449,             0.00066449
                      3,                 1.6084,                 2.4454,                 1.5886,                0.66762,                0.24327,                0.13895,                 0.0514,                 1.7586,                 2.5865,                 1.6031,             0.00089223,             0.00089223,             0.00089223
                      4,                  1.555,                 2.1909,                 1.5238,                0.79478,                0.26635,                0.31113,                 0.1314,                 1.7265,                 1.9901,                 1.4145,             0.00087875,             0.00087875,             0.00087875
                      5,                 1.4888,                 1.9953,                 1.4601,                0.80121,                 0.3974,                0.37412,                0.18594,                 1.5095,                 1.5415,                  1.303,               0.000755,               0.000755,               0.000755
                      6,                 1.4235,                 1.8411,                 1.4141,                0.79016,                0.38409,                0.37996,                0.19084,                 1.3966,                 1.7813,                 1.3474,             0.00063125,             0.00063125,             0.00063125
                      7,                 1.3887,                 1.7717,                 1.3609,                0.85868,                0.40287,                0.40203,                0.20409,                 1.4531,                 1.4425,                 1.2677,              0.0005075,              0.0005075,              0.0005075
                      8,                 1.2833,                 1.6131,                  1.298,                 0.8217,                0.40673,                0.38841,                0.22463,                 1.3163,                 1.4284,                 1.1777,             0.00038375,             0.00038375,             0.00038375
                      9,                 1.2487,                 1.5476,                 1.2745,                0.82754,                0.38984,                0.39133,                0.22371,                 1.3446,                  1.467,                 1.1717,                0.00026,                0.00026,                0.00026
                     10,                 1.2203,                 1.4774,                 1.2598,                0.83759,                0.41538,                0.42848,                0.25435,                 1.3137,                 1.3545,                 1.1521,             0.00013625,             0.00013625,             0.00013625
